window_fraction,observed_steps,alpha,beta,validation_forecast_error
0.01,2,0.05,0.05,0.5148922204971313
0.01,2,0.1,0.1,0.524167537689209
0.01,2,0.2,0.1,0.5212202668190002
0.01,2,0.2,0.2,0.5185766816139221
0.02,4,0.05,0.05,0.5215098261833191
0.02,4,0.1,0.1,0.5385550856590271
0.02,4,0.2,0.1,0.5290791988372803
0.02,4,0.2,0.2,0.5234219431877136
0.05,8,0.05,0.05,0.5193870663642883
0.05,8,0.1,0.1,0.5105057954788208
0.05,8,0.2,0.1,0.5281370282173157
0.05,8,0.2,0.2,0.5095514059066772
0.1,16,0.05,0.05,0.5167196989059448
0.1,16,0.1,0.1,0.5234333276748657
0.1,16,0.2,0.1,0.5211784839630127
0.1,16,0.2,0.2,0.5275505781173706
0.2,32,0.05,0.05,0.5209740400314331
0.2,32,0.1,0.1,0.5354703664779663
0.2,32,0.2,0.1,0.5191037058830261
0.2,32,0.2,0.2,0.5239360332489014
